アマガミ	あまかみ
AIR	えああ
Angel Beats	えんしえるひいつ
Kanon	かのん
CLANNAD	くらなと
けいおん!	けいおん
ココロコネクト	こころこねくと
こどものじかん	ことものしかん
四月は君の嘘	しかつはきみのうそ
新世紀エヴァンゲリオン	しんせいきえはんけりおん
涼宮ハルヒシリーズ	すすみやはるひしりいす
絶対可憐チルドレン	せつたいかれんちるとれん
ソ・ラ・ノ・ヲ・ト	そらのおと
そらのおとしもの	そらのおとしもの
とある魔術の禁書目録	とあるましゆつのいんてつくす
バカとテストと召喚獣	はかとてすととしようかんしゆう
BanG Dream!	はんとり
ひぐらしのなく頃に	ひくらしのなくころに
魔法少女まどか☆マギカ	まほうしようしよまとかまきか
迷い猫オーバーラン!	まよいねこおおはあらん
みつどもえ	みつともえ
ラブライブ!シリーズ	らふらいふしりいす
ローゼンメイデン	ろおせんめいてん
WORKING!	わあきんく
俺の妹がこんなに可愛いわけがない	おれのいもうとかこんなにかわいいわけかない
日常	にちしよう
Nursery Rhyme -ナーサリィ☆ライム-	なあさりいらいむ
いちご100％	いちこひやくはあせんと
こなたよりかなたまで	こなたよりかなたまて
カラフルキッス 〜12コの胸キュン!〜	からふるきつす
姉、ちゃんとしようよっ!	ねえちやんとしようよ
つよきす	つよきす
この青空に約束を—	このあおそらにやくそくお
もしも明日が晴れならば	もしもあしたかはれならは
そらうた	そらうた
巫女舞 〜ただ一つの願い〜	みこまい
ゆめくみ	ゆめくみ
セパレイトブルー	せはれいとふるう
東方夢想夏郷	とうほうむそうかきよう
